problem,cores,group,baseline,count,baseline_mean_speedup,persistent_mean_speedup,wins,ties,losses,copy_increase_cases,time_tie_copy_regressions
1,5,all,legacy,1,2.4718289783341825,1.76720149172828,0,0,1,1,0
1,5,all,mature,2,1.3640728025768438,1.4902718656531304,2,0,0,2,0
1,5,development,legacy,1,2.4718289783341825,1.76720149172828,0,0,1,1,0
1,5,development,mature,2,1.3640728025768438,1.4902718656531304,2,0,0,2,0
2,1,all,legacy,1,1.0,1.0,0,1,0,0,0
2,1,all,mature,1,1.0,1.0,0,0,1,0,0
2,1,core_regression,legacy,1,1.0,1.0,0,1,0,0,0
2,1,core_regression,mature,1,1.0,1.0,0,0,1,0,0
2,4,all,legacy,1,4.578813965349365,4.563274631616779,0,0,1,1,0
2,4,all,mature,1,4.572077471128373,4.563274631616779,0,0,1,1,0
2,4,core_regression,legacy,1,4.578813965349365,4.563274631616779,0,0,1,1,0
2,4,core_regression,mature,1,4.572077471128373,4.563274631616779,0,0,1,1,0
2,5,all,legacy,2,7.535896035719295,7.436482168059506,0,0,2,1,0
2,5,all,mature,2,7.45577798695281,7.436482168059506,0,1,1,0,0
2,5,existing_regression,legacy,1,9.594265124112985,9.468513270477954,0,0,1,0,0
2,5,existing_regression,mature,1,9.468513270477954,9.468513270477954,0,1,0,0,0
2,5,frozen_regression,legacy,1,5.477526947325605,5.404451065641057,0,0,1,1,0
2,5,frozen_regression,mature,1,5.443042703427665,5.404451065641057,0,0,1,0,0
3,1,all,legacy,1,1.0,1.0,0,1,0,0,0
3,1,all,mature,1,1.0,1.0,0,1,0,0,0
3,1,core_regression,legacy,1,1.0,1.0,0,1,0,0,0
3,1,core_regression,mature,1,1.0,1.0,0,1,0,0,0
3,3,all,legacy,1,3.0059934265644133,3.1256150561926823,1,0,0,1,0
3,3,all,mature,1,3.004029809550097,3.1256150561926823,1,0,0,1,0
3,3,core_regression,legacy,1,3.0059934265644133,3.1256150561926823,1,0,0,1,0
3,3,core_regression,mature,1,3.004029809550097,3.1256150561926823,1,0,0,1,0
3,4,all,legacy,1,3.6271815323772176,3.6257717763070225,0,0,1,0,0
3,4,all,mature,1,3.5874086689007307,3.6257717763070225,1,0,0,0,0
3,4,core_regression,legacy,1,3.6271815323772176,3.6257717763070225,0,0,1,0,0
3,4,core_regression,mature,1,3.5874086689007307,3.6257717763070225,1,0,0,0,0
3,5,all,legacy,2,4.841011115621869,4.839402106341305,0,1,1,0,0
3,5,all,mature,2,4.546694016334248,4.839402106341305,1,0,1,1,0
3,5,existing_regression,legacy,2,4.841011115621869,4.839402106341305,0,1,1,0,0
3,5,existing_regression,mature,2,4.546694016334248,4.839402106341305,1,0,1,1,0
